detector;screenshot_path;temp;artifact_visible;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-5-2.png;exe_updater_generic-5-2.png;exe_updater_generic;01_Jibberish-Mittel;196,9195;320,5876;191,3347;708,8418;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-5-3.png;exe_updater_generic-5-3.png;exe_updater_generic;01_Jibberish-Mittel;200,0992;195,612;123,1203;518,8315;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_generic-5-4.png;exe_updater_generic-5-4.png;exe_updater_generic;01_Jibberish-Mittel;205,319;304,0689;199,5803;708,9682;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_human-1-1.png;exe_updater_human-1-1.png;exe_updater_human;01_Jibberish-Mittel;198,6186;114,6798;216,7134;530,0118;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_human-1-2.png;exe_updater_human-1-2.png;exe_updater_human;01_Jibberish-Mittel;309,4018;122,8596;188,6527;620,9141;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_human-2-1.png;exe_updater_human-2-1.png;exe_updater_human;01_Jibberish-Mittel;197,2523;307,4639;185,9065;690,6227;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_human-2-2.png;exe_updater_human-2-2.png;exe_updater_human;01_Jibberish-Mittel;284,9909;139,5156;140,0705;564,577;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_human-3-1.png;exe_updater_human-3-1.png;exe_updater_human;01_Jibberish-Mittel;189,2469;343,706;120,7945;653,7474;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_human-3-2.png;exe_updater_human-3-2.png;exe_updater_human;01_Jibberish-Mittel;138,818;274,0833;218,2013;631,1026;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_human-4-1.png;exe_updater_human-4-1.png;exe_updater_human;01_Jibberish-Mittel;314,5403;225,0389;188,6391;728,2183;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_human-4-2.png;exe_updater_human-4-2.png;exe_updater_human;01_Jibberish-Mittel;198,0667;427,672;177,8973;803,636;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_human-5-1.png;exe_updater_human-5-1.png;exe_updater_human;01_Jibberish-Mittel;129,8528;198,4458;197,8464;526,145;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_human-5-2.png;exe_updater_human-5-2.png;exe_updater_human;01_Jibberish-Mittel;387,2003;128,5806;185,2397;701,0206;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-1-1.png;exe_updater_java-1-1.png;exe_updater_java;01_Jibberish-Mittel;127,5455;99,5082;193,6873;420,741;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-1-2.png;exe_updater_java-1-2.png;exe_updater_java;01_Jibberish-Mittel;304,6164;35,2902;118,4018;458,3084;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-1-3.png;exe_updater_java-1-3.png;exe_updater_java;01_Jibberish-Mittel;134,0911;92,0364;109,5509;335,6784;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-1-4.png;exe_updater_java-1-4.png;exe_updater_java;01_Jibberish-Mittel;198,6535;186,4166;119,0087;504,0788;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-1-5.png;exe_updater_java-1-5.png;exe_updater_java;01_Jibberish-Mittel;237,4214;99,6478;187,1184;524,1876;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-1-6.png;exe_updater_java-1-6.png;exe_updater_java;01_Jibberish-Mittel;207,8344;116,7505;202,6233;527,2082;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-1-7.png;exe_updater_java-1-7.png;exe_updater_java;01_Jibberish-Mittel;193,6907;104,4266;119,2998;417,4171;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-1-8.png;exe_updater_java-1-8.png;exe_updater_java;01_Jibberish-Mittel;198,7708;203,9706;178,4629;581,2043;False;0;False
orb;\\VBOXSVR\evaluation_screenshots\exe_updater_java-2-1.png;exe_updater_java-2-1.png;exe_updater_java;01_Jibberish-Mittel;201,73;312,6123;210,1901;724,5324;False;0;False
