detector;screenshot_path;temp;artifact_visible;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count;goal
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_file_scanner-5-2.png;exe_file_scanner-5-2.png;exe_file_scanner;01_Jibberish-Mittel;192,6376;419,4251;194,8525;806,9152;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_file_scanner-5-3.png;exe_file_scanner-5-3.png;exe_file_scanner;01_Jibberish-Mittel;126,9355;216,0879;133,725;476,7484;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_file_scanner-5-4.png;exe_file_scanner-5-4.png;exe_file_scanner;01_Jibberish-Mittel;193,3634;236,2992;187,7662;617,4288;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-1-1.png;exe_login_window-1-1.png;exe_login_window;01_Jibberish-Mittel;204,2099;188,3405;100,9769;493,5273;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-1-2.png;exe_login_window-1-2.png;exe_login_window;01_Jibberish-Mittel;202,4788;109,0771;181,9176;493,4735;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-1-3.png;exe_login_window-1-3.png;exe_login_window;01_Jibberish-Mittel;112,1486;111,6515;106,2639;330,064;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-1-4.png;exe_login_window-1-4.png;exe_login_window;01_Jibberish-Mittel;200,9526;103,6791;103,7609;408,3926;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-2-1.png;exe_login_window-2-1.png;exe_login_window;01_Jibberish-Mittel;198,0486;319,6013;177,521;695,1709;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-2-2.png;exe_login_window-2-2.png;exe_login_window;01_Jibberish-Mittel;232,3017;296,0666;190,5882;718,9565;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-2-3.png;exe_login_window-2-3.png;exe_login_window;01_Jibberish-Mittel;125,1421;400,3195;186,8334;712,295;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-2-4.png;exe_login_window-2-4.png;exe_login_window;01_Jibberish-Mittel;210,8335;423,681;137,3534;771,8679;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-3-1.png;exe_login_window-3-1.png;exe_login_window;01_Jibberish-Mittel;210,9517;419,4507;192,8856;823,288;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-3-2.png;exe_login_window-3-2.png;exe_login_window;01_Jibberish-Mittel;213,1047;295,7226;209,7471;718,5744;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-3-3.png;exe_login_window-3-3.png;exe_login_window;01_Jibberish-Mittel;125,2887;393,78;111,1721;630,2408;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-3-4.png;exe_login_window-3-4.png;exe_login_window;01_Jibberish-Mittel;203,9269;429,5448;112,1278;745,5995;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-4-1.png;exe_login_window-4-1.png;exe_login_window;01_Jibberish-Mittel;302,6326;408,3932;123,9766;835,0024;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-4-2.png;exe_login_window-4-2.png;exe_login_window;01_Jibberish-Mittel;199,7798;531,0614;206,8603;937,7015;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-4-3.png;exe_login_window-4-3.png;exe_login_window;01_Jibberish-Mittel;226,792;495,3542;120,4703;842,6165;False;0;False
orb;\\VBOXSVR\evaluation_screenshots_scaled\exe_login_window-4-4.png;exe_login_window-4-4.png;exe_login_window;01_Jibberish-Mittel;215,4724;629,0632;118,7498;963,2854;False;0;False
