detector;screenshot_path;artifact_goal;artifacttype_retrieved;features_extracted;matching_finished;total;found;match_count
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,8826;94,6578;7,0223;121,5627;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;103,2395;92,6244;6,9596;202,8235;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,6967;90,7839;79,0585;190,5391;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;96,2477;88,8268;7,002;192,0765;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,3728;94,8045;7,4032;122,5805;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;86,623;31,0032;84,0564;201,6826;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;22,299;173,7183;7,6604;203,6777;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;82,1704;30,6784;7,1539;120,0027;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,8638;100,3839;7,4259;127,6736;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;81,1874;99,269;7,3806;187,837;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;85,6872;89,951;7,0913;182,7295;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,273;102,8651;7,6787;130,8168;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;83,5761;86,9595;6,9916;177,5272;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;82,156;119,9295;74,2536;276,3391;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;78,97;101,8288;6,936;187,7348;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;90,8628;96,7674;7,0917;194,7219;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;86,0274;89,5677;6,8224;182,4175;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;91,4228;97,1774;7,5483;196,1485;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;80,5111;99,9053;6,8547;187,2711;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,2559;184,5719;7,3656;212,1934;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;87,7074;90,266;6,8181;184,7915;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;90,125;92,8188;6,9423;189,8861;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,858;86,3594;6,8999;113,1173;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;82,035;99,2846;7,0572;188,3768;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,1845;97,9056;6,9124;124,0025;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;87,5604;90,929;7,1786;185,668;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;18,9935;107,6255;78,7314;205,3504;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;91,5454;96,9744;7,4646;195,9844;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;92,4415;30,2466;6,8506;129,5387;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;85,0974;30,2857;67,6232;183,0063;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,7274;101,6793;7,2841;128,6908;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;19,5822;87,9643;73,482;181,0285;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;78,8387;100,2673;7,1222;186,2282;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;90,4362;97,7152;6,952;195,1034;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;20,4767;117,7912;6,8347;145,1026;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;85,7714;29,2127;69,0634;184,0475;False;0
orb;C:\Users\Lab19\Desktop\evaluation_quantitative\artifact_absent.png;artifact_00_images;88,7996;95,5243;6,8154;191,1393;False;0
